ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Pre-Columbian Civilizations,,FOUND
2,Indigenous North American Cultures,1,FOUND
3,Aztec Empire,1,NEWWLD
4,Inca Empire,1,NEWWLD
5,Mississippian Culture,2,NEWWLD
6,Iroquois Confederacy,2,NEWWLD
7,European Exploration Motives,1,NEWWLD
8,Christopher Columbus,7,NEWWLD
9,Spanish Conquistadors,8|3|4,NEWWLD
10,Columbian Exchange,8|1|2,NEWWLD
11,Disease and Indigenous Depopulation,10|2,NEWWLD
12,French Exploration,7,NEWWLD
13,Dutch Exploration,7,NEWWLD
14,English Exploration,7,NEWWLD
15,Treaty of Tordesillas,8|7,NEWWLD
16,Encomienda System,9|11,NEWWLD
17,Atlantic Slave Trade Origins,16|7,FOUND
18,Jamestown Settlement,14,NEWWLD
19,John Smith,18,NEWWLD
20,Powhatan Confederacy,2|18,NEWWLD
21,New England Colonies,14|18,COLAM
22,Middle Colonies,14,COLAM
23,Southern Colonies,18,COLAM
24,Puritan Migration,21,COLAM
25,Massachusetts Bay Colony,24,COLAM
26,Roger Williams and Rhode Island,25,COLAM
27,Anne Hutchinson,25,COLAM
28,Headright System,23,COLAM
29,Indentured Servitude,28,COLAM
30,Slavery in the Colonies,17|29|23,COLAM
31,Triangular Trade,30|17,COLAM
32,Mercantilism,31,COLAM
33,Navigation Acts,32,COLAM
34,Bacon's Rebellion,29|23,COLAM
35,Salem Witch Trials,25|24,COLAM
36,Colonial Governance,21|22|23,FOUND
37,Town Meetings,21|36,COLAM
38,House of Burgesses,23|36,COLAM
39,Great Awakening,25|22,COLAM
40,Jonathan Edwards,39,COLAM
41,Colonial Social Structure,30|29|36,COLAM
42,Plantation Economy,30|23,COLAM
43,Middle Passage,17|30,COLAM
44,Colonial Education,25|36,COLAM
45,Albany Plan of Union,36|22|21,COLAM
46,French and Indian War,12|21|45,REVOL
47,Proclamation of 1763,46|2,REVOL
48,Stamp Act,47|33,REVOL
49,Townshend Acts,48,REVOL
50,Boston Massacre,49,REVOL
51,Boston Tea Party,49|33,REVOL
52,Intolerable Acts,51,REVOL
53,First Continental Congress,52,REVOL
54,Lexington and Concord,53,REVOL
55,Second Continental Congress,54,REVOL
56,Common Sense (Paine),55,REVOL
57,Declaration of Independence,55|56,REVOL
58,Thomas Jefferson,57,REVOL
59,Revolutionary War Major Battles,54|55,REVOL
60,Valley Forge,59,REVOL
61,Marquis de Lafayette,59|60,REVOL
62,Treaty of Paris 1783,59|57,REVOL
63,Articles of Confederation,55|62,REVOL
64,Shays' Rebellion,63,REVOL
65,Constitutional Convention,64|63,REVOL
66,Great Compromise,65,REVOL
67,Three-Fifths Compromise,65|30,REVOL
68,Federalism,65|66,FOUND
69,Anti-Federalism,65,REVOL
70,Federalist Papers,65|68,REVOL
71,Bill of Rights,70|69,FOUND
72,George Washington as President,65|62,REVOL
73,Alexander Hamilton,72|70,REVOL
74,Thomas Jefferson as Secretary of State,72|58,REVOL
75,National Bank Debate,73|74,REVOL
76,Washington's Farewell Address,72,REVOL
77,John Adams Presidency,76|72,REVOL
78,XYZ Affair,77,REVOL
79,Alien and Sedition Acts,78|71,REVOL
80,Virginia and Kentucky Resolutions,79|68,REVOL
81,Election of 1800,79|77,EXPAN
82,Jeffersonian Democracy,81|58,EXPAN
83,Louisiana Purchase,82|74,EXPAN
84,Lewis and Clark Expedition,83,EXPAN
85,Marbury v. Madison,81,EXPAN
86,Judicial Review,85,FOUND
87,War of 1812,82,EXPAN
88,Era of Good Feelings,87,EXPAN
89,Monroe Doctrine,88,EXPAN
90,Missouri Compromise,88|30,EXPAN
91,Jacksonian Democracy,88,EXPAN
92,Andrew Jackson,91,EXPAN
93,Spoils System,92|91,EXPAN
94,Nullification Crisis,92|80|68,EXPAN
95,Indian Removal Act,92|2,EXPAN
96,Trail of Tears,95|2,EXPAN
97,Second Bank of the United States,92|75,EXPAN
98,Manifest Destiny,88|84,EXPAN
99,Texas Revolution,98,EXPAN
100,Mexican-American War,99|98,EXPAN
101,Seneca Falls Convention,102,EXPAN
102,Abolitionism,30,EXPAN
103,Frederick Douglass,30|102,EXPAN
104,William Lloyd Garrison,102,EXPAN
105,Underground Railroad,102|30,EXPAN
106,Temperance Movement,39,EXPAN
107,Women's Rights Movement,101|102,EXPAN
108,Transcendentalism,39|44,EXPAN
109,Industrial Revolution in America,32|44,EXPAN
110,Market Revolution,109,EXPAN
111,Transportation Revolution,110,EXPAN
112,Erie Canal,111,EXPAN
113,Sectionalism,90|30|109,CIVWR
114,Compromise of 1850,113|100,CIVWR
115,Fugitive Slave Act,114|30,CIVWR
116,Uncle Tom's Cabin,115|102,CIVWR
117,Kansas-Nebraska Act,114|113,CIVWR
118,Bleeding Kansas,117,CIVWR
119,Republican Party Formation,118|102,CIVWR
120,Dred Scott Decision,117|86,CIVWR
121,Lincoln-Douglas Debates,120|119,CIVWR
122,John Brown's Raid,102|118,CIVWR
123,Election of 1860,121|119,CIVWR
124,Southern Secession,123|113,CIVWR
125,Confederate States of America,124,CIVWR
126,Abraham Lincoln,123,CIVWR
127,Civil War Causes,113|120|123,CIVWR
128,Fort Sumter,125|124,CIVWR
129,Anaconda Plan,128,CIVWR
130,Battle of Antietam,129,CIVWR
131,Emancipation Proclamation,130|126,CIVWR
